1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500
0,0,0,0.0401273,0.0164234,0,0,0,0,0,0,0,0,-0.0381618,0.087019,0,0,0,0,0,0,0,0,0,0.00609179,0.0277441,0,-0.0750574,0,0,0,0,0,0,0.383595,0.0965256,0,0,0,0,0,0,0,0,0.308394,0,0,0,0,-0.0311825,0,0,0,0,0,0,0,-0.0429768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0653954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0148572,0,-0.174805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0608851,0.332702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172442,-0.0201538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379358,0,0,0,0,0,0,0,0,-0.0360782,-0.0585965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328523,0.0581406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.26302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.564452,0.162153,0,0,0,0,0,0,0,0,0,0,0,0,0.0529405,0,0,-0.126413,-0.0414162,0,0,0,0,0,0.0251833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128379,0,0,0,0,0,-0.081705,0,0,0,0,0,0,-0.0696895,0,0,0,0,-0.0960643,-0.0450893,0,0,0,0,0,0,0,0,0,0,0,0,-0.167539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304828,0,0.143832,0,0,0,0.0908747,0.128858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.253794,-0.32506,0,0,-0.224233,0,0,0,0,0,0,0,0,0,-0.0346945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.251003,0,0,0
-0.197777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,0,0,0,0,0,0,0,0,0,0.245375,0.151793,0,0,0,0,0,0,0,0,0.327727,0,0,0,0,-0.0114813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.050707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.078387,0,-0.192515,0,0,0,-0.0132778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016701,-0.00763415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248491,0.000580569,0,0,0,0,0,0,0,0,0,-0.10241,0,0,0,0,0,-0.251151,-0.00107818,0,0,0,0,0.0101977,0.0304555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0242831,0,0,-0.00665723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.211452,0,0,0,0,0,0,-0.114436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0988975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0862587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000265575,0,0,0,0,0,0,0,0,0,-0.0274831,-0.381141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0541629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.325398,0,0,0
-0.100891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117929,0,0,0,0,0,0,0,-0.0048552,0,0,0,0,0,0,0.237667,0.0192192,0,0,0,0,0,0,0,0,0.315779,0,0,0,0,-0.044444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136141,0,0,0,0,0,0,-0.125882,0,0,0,0,0,0,0,0,0,0,0,0,0.089418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0352423,-0.023909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.512562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0488951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0919696,-0.155321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0234269,-0.110181,-0.0161109,-0.250947,-0.0242615,0,0,0,0,0,0,0,-0.0762604,0,-0.139656,0,0,0,0,0,0,0,0,0,0.176656,0.0614711,0,0,0,0,0,0,0,0,0,-0.0413647,0,0,0,0,0,-0.261583,-0.102467,0,0,0,0,0.0149138,0.083285,0,0,0,0,0,0,0,-0.142069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0495746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00328904,0,0,0,0,0,0,-0.18832,0,0,-0.0348985,0,0,-0.122968,0,0,0,0,0,0,0,0,0,0,0,0,-0.114295,0,0,0,0,0,0,0,0,0,0,0,0,-0.0310367,0,0,0,0,0,0,-0.0239587,0,0,0,0,0,-0.0209336,0,0.0888501,0.170136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.281115,-0.371124,0,0,0,0,0,0,0,0,0,0,0,0.053867,-0.0971271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.355349,0,0,0
-0.0843949,0,0,0.00728222,0,0,0,0,0,0,0,0,0,-0.00232676,0,0,0,0,0,-0.0105534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332827,0.0526327,0,0,0,0,0,0,0,0,0.254408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0225778,0,0,0,0,0,0,0,0,0,0.063861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.116289,-0.0443895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275649,0.680339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.112172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109473,-0.0349068,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.169992,-0.0819959,0,-0.274208,-0.136517,0,0,0,-0.0139929,0,0,0,0,0,0,0,0,0.136218,0,0,0,0,0,0,0.109583,0,0,0,0,0,0,0,0,0,0,-0.0415778,0,0,0,0,0,-0.200474,-0.0212099,0,0,0,0,0.0144252,0.0383875,0.0366174,0,0,0,0,0,0,-0.0728887,0,0,0,0,0,0,0,0,0,0.00401942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0493707,0,0,0,0,0,-0.0661947,0,0,0,0,0,0,-0.0119132,0,0,0,0,0,-0.166004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00243365,0,0.00217388,0,0,0,0.0162487,0.156328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.260101,-0.348249,0,0,-0.0510336,0,0,0,0,0,0,0,0,0,-0.112836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.272985,0,0,0
-0.230434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0914947,0,0,0,0,0,0.0336342,0,0,0,0,0,0,0,0,0.258388,0,-0.0390308,0,0,0,0,0,-0.0439951,0,0.0738618,0,0,0,0,0,0,0,0,0,0,-0.00629677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0591565,0,0,0,0.0225106,0,0,0,0,0,0,0,0,0.240253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0790036,-0.105576,0,0,0,0,0,0,-0.195041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.134012,-0.126437,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108631,-0.309934,-0.0853472,-0.12044,0,0,0,0,-0.151627,0,0,0,-0.045148,0,0,0,0,0.0844321,0,0,0,0,0,0,0.338262,0.0180586,0,-0.0299038,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.338553,-0.04642,0,0,0,0,0.142439,0.0447547,0,0,0,0,0,0,0,-0.139501,0,0,0,0,0,-0.0893695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0610326,0,0,0,0,0,-0.0544504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103558,0,0,0,0.0380532,0.217346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.339811,-0.295894,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0385823,0,0,0,0,0,0,0,0,0,-0.224347,0,0,0
-0.0352955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00242606,0,0,-0.084666,0,0,0,0,0.0914181,0,0,0,0,0,0,0,0,0,0.347644,0,0,0,0,0,0,0,0,0,0.175404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405155,0,0,0,0,0,0,0,0,0.152312,0.117218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00369121,0,0,0,0,0,0,0,-0.0518695,-0.0404114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0803056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.180834,-0.116031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0504737,-0.216643,0,-0.125215,-0.0879395,0,0,0,-0.0461876,0,0,0,0,0,0,0,0,0.0335814,0,0,0,0,0.0156215,0,0.5681,0.191988,0,0,0,0,0,0,0,0,0,-0.00631605,0,0,0,0,0,-0.205986,-0.103533,0,0,0,0,0,0,0.0174359,0,0,0,0,0,0,-0.305747,0,0,0,0,0,-0.0138139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.211605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0919004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.150325,-0.209788,0,0,-0.194867,0,0,0,0,0,0,0,0,0.0581239,-0.0917401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.39723,0,0,0
-0.144638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.254958,0,0,0,0,0,0.103772,0,0,0,0,0,0,0,0,0.321228,0.139576,0,0,0,0,0,0,-0.0125258,0,0.349569,0,0,0,0,-0.0234451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0376352,0,0,0,0.00471574,0,0,0,0,0,0,0,0,0.0572453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00536799,-0.0701373,0,0,0,0,-0.00765052,0,-0.0113756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00880171,0,0,0,0,0,0,0,0,0,0,-0.0054896,0,0,0,0,0,0,0,0,-0.00103075,0,0,0,0,0,0,0,-0.111706,-0.0787415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.110572,-0.0731131,-0.0639338,-0.166167,0,0,0,0,-0.0337548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39283,0.157807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.218167,-0.120109,0,0,0,0,0,0.18714,0,0,0,0,0,0,0,-0.0833949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0828613,0,0,0,0,0,0,-0.0596355,0,0,0,0,0,-0.130449,0,0,0,0,0,0,0,0,0,0,0,0,-0.0951614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0537365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.132747,-0.282266,0,0,-0.172577,0,0,0,0,0,0,0,0,0.00715225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.287098,0,0,0
