1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.00241515,-0.00266968,0.00138532,0.00387779,-0.00820716,0.0071626,0.0208371,-0.00299159,-0.00668962,0.00498312,-0.0284429,-0.0107596,-0.00021338,0.0123119,0.000893289,-0.00567621,0.00121946,0.00802208,-0.00810594,0.00334273,-0.0339342,0.0147441,-0.000276148,0.00655893,0.0200838
-0.0144533,-0.00371461,0.00733327,0.00869325,-0.00857988,0.0100729,0.00630767,0.00459113,-0.0010634,0.00427041,-0.00970401,-0.0303192,-0.0148183,-0.000474909,0.00246066,-0.00360744,-0.00484934,-0.00145236,-0.0109978,0.00466446,-0.0196161,-0.00670759,-0.00616399,0.00793165,0.0111787
-0.0189462,-0.00875613,0.00622758,0.0126395,-0.0134253,0.00567136,0.00441427,0.00238492,0.00039024,-0.00640088,-0.0151501,-0.0254461,-0.0191265,0.00259127,-0.0091789,-0.00734468,-0.0107468,-0.00415912,-0.0112123,-4.32194e-05,-0.0217621,0.00387733,-0.00784312,0.00371139,0.0119135,-0.0167751,-0.0101336,0.00937025,0.0102433,0.0101579,0.00218671,-0.00757382,-0.0121886,-0.0318268,-0.00243711,0.0110764,0.0314334,-0.0109675,0.00315888,0.0138969,0.0192954,0.0270832,-0.00131727,0.00223953,0.0290179,-0.0127968,0.00102945,-0.00827519,0.0105485,0.00626847
-0.0183646,-0.00633461,-0.00577763,-0.00711329,-0.00224772,0.0158566,0.0124028,-0.00322795,-0.000385369,0.00332838,-0.0182541,-0.023553,-0.0116156,0.00694454,-0.00152525,-0.0148549,-0.00136024,-0.0049402,-0.00350879,0.000503203,-0.0300797,0.00598606,-0.00693768,0.00713659,0.0195815
-0.0184737,-0.0034473,-0.00280379,-0.00188363,0.0102001,0.00611093,0.0122894,0.00910958,0.00155557,0.00697626,-0.0212621,-0.0182346,-0.0127635,0.00864708,0.00455963,-0.00788991,-0.00928277,-0.00827831,-0.00310377,0.00113827,-0.0216203,0.00738892,-0.0047577,0.00540412,0.0217367
-0.0145556,0.0014494,0.0168909,0.000732911,-0.00574854,0.011064,0.0125104,0.000369857,0.00223471,-0.00635867,-0.0186639,-0.013258,0.000622948,-0.000918686,-0.00222223,-0.00272537,-0.00314749,0.00067482,-0.0120026,0.00404191,-0.0323913,0.0109584,-0.00448504,0.00796988,0.0140879
